"Tag Number","Electronic ID","NLIS","Global ID","PIC","Date of Birth","Sex","Breed","Colour","Sire VID","Sire EID","Dam VID","Dam EID","Donor Dam VID","Donor Dam EID","Group","Overall ADG","Trait Name","Trait Value","Trait ADG","When Trait Recorded","Trait In Session","Trait Scanned In Session","Activity Name","When Activity Measured","Activity In Session","Activity Scanned In Session","Treatment Name","Treatment Dosage","Treatment Batch","Treatment Expiry","Treatment Treated","Treatment Value","When Treatment Measured","Treatment In Session","Treatment Scanned In Session","Note","When Note Measured","Note In Session","Note Scanned In Session","Animal Scanned In Sessions","When Animal Scanned In Session","Event Type","When Event Created","Event In Session","Event Notes","Event Gross Amount","Event Net Amount","Farm","Property","Area","PIC Date Updated","Date of Birth Date Updated","Sex Date Updated","Breed Date Updated","Colour Date Updated","Sire Date Updated","Dam Date Updated","Group Date Updated","Donor Dam Date Updated","Farm Date Updated","Property Date Updated","Area Date Updated","Full RFID","Full RFID Date Updated","GESTACION"
"1912","032 010006501912","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1912","2025/10/09 07:16:15","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:16:15","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:15:59","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1913","032 010006501913","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1913","2025/10/09 07:17:04","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:17:04","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:16:24","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1914","032 010006501914","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1914","2025/10/09 07:18:20","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:18:20","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:18:17","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1915","032 010006501915","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1915","2025/10/09 07:19:31","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:19:31","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:19:29","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1916","032 010006501916","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1916","2025/10/09 07:21:58","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:21:58","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:21:15","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1917","032 010006501917","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1917","2025/10/09 07:22:48","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:22:48","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:22:12","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"1918","032 010006501918","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1918","2025/10/09 07:23:54","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:23:54","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:23:51","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1919","032 010006501919","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1919","2025/10/09 07:27:19","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:27:19","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:27:15","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1920","032 010006501920","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1920","2025/10/09 07:28:13","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:28:13","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:28:10","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1921","032 010006501921","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1921","2025/10/09 07:29:58","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:29:58","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:29:54","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1922","032 010006501922","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1922","2025/10/09 07:31:12","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:31:12","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:31:09","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"1923","032 010006501923","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1923","2025/10/09 07:32:07","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:32:07","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:32:02","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1924","032 010006501924","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1924","2025/10/09 07:33:39","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:33:39","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:33:36","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"1925","032 010006501925","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1925","2025/10/09 07:35:07","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:35:07","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:35:03","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1926","032 010006501926","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1926","2025/10/09 07:36:44","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:36:44","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:36:40","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1927","032 010006501927","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1927","2025/10/09 07:41:02","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:41:02","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:40:59","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1928","032 010006501928","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1928","2025/10/09 07:41:49","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:41:49","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:41:46","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1929","032 010006501929","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1929","2025/10/09 07:43:31","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:43:31","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:42:36","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"1930","032 010006501930","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1930","2025/10/09 07:44:58","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:44:58","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:44:54","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1931","032 010006501931","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1931","2025/10/09 07:46:44","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:46:44","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:46:14","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1932","032 010006501932","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1932","2025/10/09 07:48:23","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:48:23","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:48:19","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"1933","032 010006501933","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1933","2025/10/09 07:49:31","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:49:31","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:49:26","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1934","032 010006501934","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1934","2025/10/09 07:51:46","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:51:46","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:51:43","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1935","032 010006501935","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1935","2025/10/09 07:52:54","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:52:54","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:52:50","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1936","032 010006501936","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1936","2025/10/09 07:54:10","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:54:10","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:54:07","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1937","032 010006501937","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1937","2025/10/09 07:54:58","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:54:58","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:54:55","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"1938","032 010006501938","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1938","2025/10/09 07:55:51","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:55:51","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:55:44","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1939","032 010006501939","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1939","2025/10/09 07:56:54","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:56:54","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:56:50","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"1940","032 010006501940","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1940","2025/10/09 07:57:56","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:57:56","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:57:54","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1941","032 010006501941","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1941","2025/10/09 07:58:51","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:58:51","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:58:49","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1942","032 010006501942","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1942","2025/10/09 08:00:00","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:00:00","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 07:59:11","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1943","032 010006501943","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1943","2025/10/09 08:00:38","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:00:38","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:00:35","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"1944","032 010006501944","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1944","2025/10/09 08:02:25","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:02:25","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:02:22","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1945","032 010006501945","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1945","2025/10/09 08:06:23","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:06:23","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:06:20","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"1946","032 010006501946","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1946","2025/10/09 08:08:04","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:08:04","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:07:59","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1947","032 010006501947","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1947","2025/10/09 08:10:54","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:10:54","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:10:51","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"1948","032 010006501948","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1948","2025/10/09 08:11:45","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:11:45","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:11:42","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1949","032 010006501949","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1949","2025/10/09 08:13:18","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:13:18","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:12:30","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"1950","032 010006501950","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1950","2025/10/09 08:15:23","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:15:23","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:15:20","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"1951","032 010006501951","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1951","2025/10/09 08:16:17","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:16:17","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:16:14","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1952","032 010006501952","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1952","2025/10/09 08:17:07","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:17:07","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:17:04","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"1953","032 010006501953","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1953","2025/10/09 08:18:08","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:18:08","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:18:05","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"1954","032 010006501954","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1954","2025/10/09 08:19:21","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:19:21","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:19:18","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1955","032 010006501955","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1955","2025/10/09 08:20:44","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:20:44","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:20:09","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1956","032 010006501956","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1956","2025/10/09 08:22:37","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:22:37","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:22:35","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1957","032 010006501957","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1957","2025/10/09 08:23:22","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:23:22","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:23:19","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1958","032 010006501958","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1958","2025/10/09 08:24:26","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:24:26","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:24:24","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","VACIA"
"1959","032 010006501959","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1959","2025/10/09 08:26:25","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:26:25","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:26:23","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1960","032 010006501960","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1960","2025/10/09 08:28:07","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:28:07","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:28:05","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1961","032 010006501961","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1961","2025/10/09 08:29:17","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:29:17","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:29:14","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1962","032 010006501962","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1962","2025/10/09 08:33:02","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:33:02","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:32:59","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
"1963","032 010006501963","","","","","","","","","","","","","","","--.--","","","","","","","","","","","","","","","","","","","","Nueva etiqu.:1963","2025/10/09 08:34:39","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:34:39","09 Oct 2025 - TACTO OTONO 25 PPD SANGRE","2025/10/09 08:34:36","","","","","","","","","","","","","","","","1969/12/31 21:00:00","","","","","","","","CABEZA"
