VID,EID,Date,Time,Draft,Notes,Live Weight (kg),Average Daily Gain (kg/d),Overall Daily Gain (kg/d),Dam Vid,Dam Eid,GESTACION,Status
1926,032 010006501926,2025-10-09,07:36:40,,Nueva etiqu.:1926,,,,,,CABEZA,
1927,032 010006501927,2025-10-09,07:40:59,,Nueva etiqu.:1927,,,,,,CABEZA,
1928,032 010006501928,2025-10-09,07:41:46,,Nueva etiqu.:1928,,,,,,CABEZA,
1929,032 010006501929,2025-10-09,07:42:36,,Nueva etiqu.:1929,,,,,,VACIA,
1930,032 010006501930,2025-10-09,07:44:54,,Nueva etiqu.:1930,,,,,,CABEZA,
1931,032 010006501931,2025-10-09,07:46:14,,Nueva etiqu.:1931,,,,,,CABEZA,
1932,032 010006501932,2025-10-09,07:48:19,,Nueva etiqu.:1932,,,,,,VACIA,
1933,032 010006501933,2025-10-09,07:49:26,,Nueva etiqu.:1933,,,,,,CABEZA,
1934,032 010006501934,2025-10-09,07:51:43,,Nueva etiqu.:1934,,,,,,CABEZA,
1935,032 010006501935,2025-10-09,07:52:50,,Nueva etiqu.:1935,,,,,,CABEZA,
1936,032 010006501936,2025-10-09,07:54:07,,Nueva etiqu.:1936,,,,,,CABEZA,
1937,032 010006501937,2025-10-09,07:54:55,,Nueva etiqu.:1937,,,,,,VACIA,
1938,032 010006501938,2025-10-09,07:55:44,,Nueva etiqu.:1938,,,,,,CABEZA,
1939,032 010006501939,2025-10-09,07:56:50,,Nueva etiqu.:1939,,,,,,VACIA,
1940,032 010006501940,2025-10-09,07:57:54,,Nueva etiqu.:1940,,,,,,CABEZA,
1941,032 010006501941,2025-10-09,07:58:49,,Nueva etiqu.:1941,,,,,,CABEZA,
1942,032 010006501942,2025-10-09,07:59:11,,Nueva etiqu.:1942,,,,,,CABEZA,
1943,032 010006501943,2025-10-09,08:00:35,,Nueva etiqu.:1943,,,,,,VACIA,
1944,032 010006501944,2025-10-09,08:02:22,,Nueva etiqu.:1944,,,,,,CABEZA,
1945,032 010006501945,2025-10-09,08:06:20,,Nueva etiqu.:1945,,,,,,VACIA,
1946,032 010006501946,2025-10-09,08:07:59,,Nueva etiqu.:1946,,,,,,CABEZA,
1947,032 010006501947,2025-10-09,08:10:51,,Nueva etiqu.:1947,,,,,,VACIA,
1948,032 010006501948,2025-10-09,08:11:42,,Nueva etiqu.:1948,,,,,,CABEZA,
1949,032 010006501949,2025-10-09,08:12:30,,Nueva etiqu.:1949,,,,,,VACIA,
1950,032 010006501950,2025-10-09,08:15:20,,Nueva etiqu.:1950,,,,,,VACIA,
1951,032 010006501951,2025-10-09,08:16:14,,Nueva etiqu.:1951,,,,,,CABEZA,
1952,032 010006501952,2025-10-09,08:17:04,,Nueva etiqu.:1952,,,,,,VACIA,
1953,032 010006501953,2025-10-09,08:18:05,,Nueva etiqu.:1953,,,,,,VACIA,
1954,032 010006501954,2025-10-09,08:19:18,,Nueva etiqu.:1954,,,,,,CABEZA,
1955,032 010006501955,2025-10-09,08:20:09,,Nueva etiqu.:1955,,,,,,CABEZA,
1956,032 010006501956,2025-10-09,08:22:35,,Nueva etiqu.:1956,,,,,,CABEZA,
1957,032 010006501957,2025-10-09,08:23:19,,Nueva etiqu.:1957,,,,,,CABEZA,
1958,032 010006501958,2025-10-09,08:24:24,,Nueva etiqu.:1958,,,,,,VACIA,
1959,032 010006501959,2025-10-09,08:26:23,,Nueva etiqu.:1959,,,,,,CABEZA,
1960,032 010006501960,2025-10-09,08:28:05,,Nueva etiqu.:1960,,,,,,CABEZA,
1961,032 010006501961,2025-10-09,08:29:14,,Nueva etiqu.:1961,,,,,,CABEZA,
1962,032 010006501962,2025-10-09,08:32:59,,Nueva etiqu.:1962,,,,,,CABEZA,
1963,032 010006501963,2025-10-09,08:34:36,,Nueva etiqu.:1963,,,,,,CABEZA,
1964,032 010006501964,2025-10-09,08:35:21,,Nueva etiqu.:1964,,,,,,CABEZA,
1965,032 010006501965,2025-10-09,08:36:18,,Nueva etiqu.:1965,,,,,,VACIA,
1966,032 010006501966,2025-10-09,08:37:37,,Nueva etiqu.:1966,,,,,,CABEZA,
1967,032 010006501967,2025-10-09,08:38:44,,Nueva etiqu.:1967,,,,,,CABEZA,
1968,032 010006501968,2025-10-09,08:40:12,,Nueva etiqu.:1968,,,,,,CABEZA,
1969,032 010006501969,2025-10-09,08:41:14,,Nueva etiqu.:1969,,,,,,CABEZA,
1970,032 010006501970,2025-10-09,08:42:06,,Nueva etiqu.:1970,,,,,,CABEZA,
1971,032 010006501971,2025-10-09,08:43:02,,Nueva etiqu.:1971,,,,,,CABEZA,
1972,032 010006501972,2025-10-09,08:43:51,,Nueva etiqu.:1972,,,,,,VACIA,
1973,032 010006501973,2025-10-09,08:47:22,,Nueva etiqu.:1973,,,,,,CABEZA,
1974,032 010006501974,2025-10-09,08:48:39,,Nueva etiqu.:1974,,,,,,VACIA,
1975,032 010006501975,2025-10-09,08:51:20,,Nueva etiqu.:1975,,,,,,CABEZA,
1976,032 010006501976,2025-10-09,08:52:05,,Nueva etiqu.:1976,,,,,,VACIA,
1977,032 010006501977,2025-10-09,08:52:57,,Nueva etiqu.:1977,,,,,,VACIA,
1978,032 010006501978,2025-10-09,08:53:50,,Nueva etiqu.:1978,,,,,,VACIA,
1979,032 010006501979,2025-10-09,08:55:06,,Nueva etiqu.:1979,,,,,,VACIA,
1980,032 010006501980,2025-10-09,08:56:27,,Nueva etiqu.:1980,,,,,,CABEZA,
1981,032 010006501981,2025-10-09,08:57:24,,Nueva etiqu.:1981,,,,,,CABEZA,
1982,032 010006501982,2025-10-09,08:58:11,,Nueva etiqu.:1982,,,,,,CABEZA,
1983,032 010006501983,2025-10-09,08:59:02,,Nueva etiqu.:1983,,,,,,CABEZA,
1984,032 010006501984,2025-10-09,08:59:53,,Nueva etiqu.:1984,,,,,,CABEZA,
1985,032 010006501985,2025-10-09,09:00:54,,Nueva etiqu.:1985,,,,,,VACIA,
1986,032 010006501986,2025-10-09,09:02:23,,Nueva etiqu.:1986,,,,,,CABEZA,
1987,032 010006501987,2025-10-09,09:03:34,,Nueva etiqu.:1987,,,,,,CABEZA,
1988,032 010006501988,2025-10-09,09:05:52,,Nueva etiqu.:1988,,,,,,CABEZA,
1989,032 010006501989,2025-10-09,09:06:03,,Nueva etiqu.:1989,,,,,,VACIA,
1990,032 010006501990,2025-10-09,09:07:48,,Nueva etiqu.:1990,,,,,,VACIA,
1991,032 010006501991,2025-10-09,09:08:51,,Nueva etiqu.:1991,,,,,,CABEZA,
1992,032 010006501992,2025-10-09,09:10:07,,Nueva etiqu.:1992,,,,,,CABEZA,
1993,032 010006501993,2025-10-09,09:11:11,,Nueva etiqu.:1993,,,,,,CABEZA,
1994,032 010006501994,2025-10-09,09:12:37,,Nueva etiqu.:1994,,,,,,VACIA,
1995,032 010006501995,2025-10-09,09:20:13,,Nueva etiqu.:1995,,,,,,CABEZA,
1996,032 010006501996,2025-10-09,09:22:44,,Nueva etiqu.:1996,,,,,,CABEZA,
1997,032 010006501997,2025-10-09,09:23:28,,Nueva etiqu.:1997,,,,,,VACIA,
1998,032 010006501998,2025-10-09,09:23:43,,Nueva etiqu.:1998,,,,,,VACIA,
1999,032 010006501999,2025-10-09,09:25:50,,Nueva etiqu.:1999,,,,,,CABEZA,
0150,032 010006500150,2025-10-09,09:26:27,,Nueva etiqu.:0150,,,,,,CABEZA,
0151,032 010006500151,2025-10-09,09:29:11,,Nueva etiqu.:0151,,,,,,VACIA,
0152,032 010006500152,2025-10-09,09:30:03,,Nueva etiqu.:0152,,,,,,CABEZA,
0153,032 010006500153,2025-10-09,09:31:31,,Nueva etiqu.:0153,,,,,,CABEZA,
0154,032 010006500154,2025-10-09,09:32:06,,Nueva etiqu.:0154,,,,,,CABEZA,
0155,032 010006500155,2025-10-09,09:33:47,,Nueva etiqu.:0155,,,,,,CABEZA,
0156,032 010006500156,2025-10-09,09:34:21,,Nueva etiqu.:0156,,,,,,VACIA,
0157,032 010006500157,2025-10-09,09:37:31,,Nueva etiqu.:0157,,,,,,VACIA,
0158,032 010006500158,2025-10-09,09:38:46,,Nueva etiqu.:0158,,,,,,VACIA,
0159,032 010006500159,2025-10-09,09:39:36,,Nueva etiqu.:0159,,,,,,CABEZA,
0160,032 010006500160,2025-10-09,09:40:36,,Nueva etiqu.:0160,,,,,,VACIA,
0161,032 010006500161,2025-10-09,09:41:32,,Nueva etiqu.:0161,,,,,,CABEZA,
0162,032 010006500162,2025-10-09,09:42:30,,Nueva etiqu.:0162,,,,,,VACIA,
0163,032 010006500163,2025-10-09,09:43:55,,Nueva etiqu.:0163,,,,,,CABEZA,
0164,032 010006500164,2025-10-09,09:45:15,,Nueva etiqu.:0164,,,,,,CABEZA,
0165,032 010006500165,2025-10-09,09:45:55,,Nueva etiqu.:0165,,,,,,CABEZA,
0166,032 010006500166,2025-10-09,09:48:17,,Nueva etiqu.:0166,,,,,,VACIA,
0167,032 010006500167,2025-10-09,09:49:23,,Nueva etiqu.:0167,,,,,,CABEZA,
0168,032 010006500168,2025-10-09,09:51:10,,Nueva etiqu.:0168,,,,,,CABEZA,
0169,032 010006500169,2025-10-09,09:53:19,,Nueva etiqu.:0169,,,,,,CABEZA,
0170,032 010006500170,2025-10-09,09:54:13,,Nueva etiqu.:0170,,,,,,VACIA,
0171,032 010006500171,2025-10-09,09:55:47,,Nueva etiqu.:0171,,,,,,VACIA,
0172,032 010006500172,2025-10-09,09:57:28,,Nueva etiqu.:0172,,,,,,VACIA,
0173,032 010006500173,2025-10-09,09:59:35,,Nueva etiqu.:0173,,,,,,CABEZA,
0174,032 010006500174,2025-10-09,10:01:23,,Nueva etiqu.:0174,,,,,,CABEZA,
0175,032 010006500175,2025-10-09,10:02:50,,Nueva etiqu.:0175,,,,,,VACIA,
0176,032 010006500176,2025-10-09,10:04:06,,Nueva etiqu.:0176,,,,,,CABEZA,
0177,032 010006500177,2025-10-09,10:05:14,,Nueva etiqu.:0177,,,,,,VACIA,
0178,032 010006500178,2025-10-09,10:06:34,,Nueva etiqu.:0178,,,,,,VACIA,
0179,032 010006500179,2025-10-09,10:10:53,,Nueva etiqu.:0179,,,,,,CABEZA,
0180,032 010006500180,2025-10-09,10:12:07,,Nueva etiqu.:0180,,,,,,CABEZA,
0181,032 010006500181,2025-10-09,10:12:58,,Nueva etiqu.:0181,,,,,,CABEZA,
0182,032 010006500182,2025-10-09,10:13:59,,Nueva etiqu.:0182,,,,,,CABEZA,
0183,032 010006500183,2025-10-09,10:14:48,,Nueva etiqu.:0183,,,,,,VACIA,
0184,032 010006500184,2025-10-09,10:15:43,,Nueva etiqu.:0184,,,,,,CABEZA,
0185,032 010006500185,2025-10-09,10:16:52,,Nueva etiqu.:0185,,,,,,CABEZA,
0186,032 010006500186,2025-10-09,10:18:27,,Nueva etiqu.:0186,,,,,,VACIA,
0187,032 010006500187,2025-10-09,10:19:19,,Nueva etiqu.:0187,,,,,,CABEZA,
0188,032 010006500188,2025-10-09,10:20:17,,Nueva etiqu.:0188,,,,,,CABEZA,
0189,032 010006500189,2025-10-09,10:21:26,,Nueva etiqu.:0189,,,,,,CABEZA,
0190,032 010006500190,2025-10-09,10:23:21,,Nueva etiqu.:0190,,,,,,CABEZA,
0191,032 010006500191,2025-10-09,10:24:36,,Nueva etiqu.:0191,,,,,,CABEZA,
0192,032 010006500192,2025-10-09,10:25:39,,Nueva etiqu.:0192,,,,,,CABEZA,
0193,032 010006500193,2025-10-09,10:26:34,,Nueva etiqu.:0193,,,,,,VACIA,
0194,032 010006500194,2025-10-09,10:27:43,,Nueva etiqu.:0194,,,,,,CABEZA,
0195,032 010006500195,2025-10-09,10:28:48,,Nueva etiqu.:0195,,,,,,VACIA,
0196,032 010006500196,2025-10-09,10:29:09,,Nueva etiqu.:0196,,,,,,VACIA,
0197,032 010006500197,2025-10-09,10:30:45,,Nueva etiqu.:0197,,,,,,VACIA,
0198,032 010006500198,2025-10-09,10:31:52,,Nueva etiqu.:0198,,,,,,CABEZA,
0199,032 010006500199,2025-10-09,10:33:46,,Nueva etiqu.:0199,,,,,,CABEZA,
0200,032 010006500200,2025-10-09,10:36:22,,Nueva etiqu.:0200,,,,,,CABEZA,
0201,032 010006500201,2025-10-09,10:37:42,,Nueva etiqu.:0201,,,,,,CABEZA,
0202,032 010006500202,2025-10-09,10:37:50,,Nueva etiqu.:0202,,,,,,CABEZA,
0203,032 010006500203,2025-10-09,10:40:02,,Nueva etiqu.:0203,,,,,,CABEZA,
0204,032 010006500204,2025-10-09,10:44:04,,Nueva etiqu.:0204,,,,,,CABEZA,
0205,032 010006500205,2025-10-09,10:44:58,,Nueva etiqu.:0205,,,,,,VACIA,
0206,032 010006500206,2025-10-09,10:46:17,,Nueva etiqu.:0206,,,,,,CABEZA,
0207,032 010006500207,2025-10-09,10:47:36,,Nueva etiqu.:0207,,,,,,CABEZA,
0208,032 010006500208,2025-10-09,10:48:18,,Nueva etiqu.:0208,,,,,,CABEZA,
0209,032 010006500209,2025-10-09,10:49:08,,Nueva etiqu.:0209,,,,,,CABEZA,
0210,032 010006500210,2025-10-09,10:49:53,,Nueva etiqu.:0210,,,,,,CABEZA,
0211,032 010006500211,2025-10-09,10:51:22,,Nueva etiqu.:0211,,,,,,CABEZA,
0212,032 010006500212,2025-10-09,10:52:24,,Nueva etiqu.:0212,,,,,,VACIA,
0213,032 010006500213,2025-10-09,10:53:01,,Nueva etiqu.:0213,,,,,,CABEZA,
0214,032 010006500214,2025-10-09,10:54:19,,Nueva etiqu.:0214,,,,,,CABEZA,
0215,032 010006500215,2025-10-09,10:55:11,,Nueva etiqu.:0215,,,,,,CABEZA,
0216,032 010006500216,2025-10-09,10:56:07,,Nueva etiqu.:0216,,,,,,VACIA,
0217,032 010006500217,2025-10-09,10:57:00,,Nueva etiqu.:0217,,,,,,VACIA,
0218,032 010006500218,2025-10-09,10:58:17,,Nueva etiqu.:0218,,,,,,VACIA,
0219,032 010006500219,2025-10-09,10:59:27,,Nueva etiqu.:0219,,,,,,VACIA,
0220,032 010006500220,2025-10-09,11:01:34,,Nueva etiqu.:0220,,,,,,CABEZA,
0221,032 010006500221,2025-10-09,11:02:12,,Nueva etiqu.:0221,,,,,,CABEZA,
0222,032 010006500222,2025-10-09,11:03:09,,Nueva etiqu.:0222,,,,,,VACIA,
0223,032 010006500223,2025-10-09,11:04:02,,Nueva etiqu.:0223,,,,,,CABEZA,
0224,032 010006500224,2025-10-09,11:06:14,,Nueva etiqu.:0224,,,,,,VACIA,
0225,032 010006500225,2025-10-09,11:08:02,,Nueva etiqu.:0225,,,,,,CABEZA,
0226,032 010006500226,2025-10-09,11:08:55,,Nueva etiqu.:0226,,,,,,CABEZA,
0227,032 010006500227,2025-10-09,11:09:49,,Nueva etiqu.:0227,,,,,,VACIA,
0228,032 010006500228,2025-10-09,11:10:42,,Nueva etiqu.:0228,,,,,,CABEZA,
0229,032 010006500229,2025-10-09,11:12:02,,Nueva etiqu.:0229,,,,,,CABEZA,
0230,032 010006500230,2025-10-09,11:13:08,,Nueva etiqu.:0230,,,,,,CABEZA,
0231,032 010006500231,2025-10-09,11:13:17,,Nueva etiqu.:0231,,,,,,CABEZA,
0232,032 010006500232,2025-10-09,11:18:52,,Nueva etiqu.:0232,,,,,,CABEZA,
0233,032 010006500233,2025-10-09,11:20:25,,Nueva etiqu.:0233,,,,,,VACIA,
0234,032 010006500234,2025-10-09,11:21:08,,Nueva etiqu.:0234,,,,,,CABEZA,
0235,032 010006500235,2025-10-09,11:22:21,,Nueva etiqu.:0235,,,,,,CABEZA,
0236,032 010006500236,2025-10-09,11:23:05,,Nueva etiqu.:0236,,,,,,CABEZA,
0237,032 010006500237,2025-10-09,11:24:01,,Nueva etiqu.:0237,,,,,,CABEZA,
0238,032 010006500238,2025-10-09,11:25:57,,Nueva etiqu.:0238,,,,,,VACIA,
0239,032 010006500239,2025-10-09,11:27:03,,Nueva etiqu.:0239,,,,,,CABEZA,
0240,032 010006500240,2025-10-09,11:28:00,,Nueva etiqu.:0240,,,,,,CABEZA,
0241,032 010006500241,2025-10-09,11:29:24,,Nueva etiqu.:0241,,,,,,CABEZA,
0242,032 010006500242,2025-10-09,11:30:34,,Nueva etiqu.:0242,,,,,,CABEZA,
0243,032 010006500243,2025-10-09,11:31:47,,Nueva etiqu.:0243,,,,,,CABEZA,
0244,032 010006500244,2025-10-09,11:32:41,,Nueva etiqu.:0244,,,,,,CABEZA,
0245,032 010006500245,2025-10-09,11:33:33,,Nueva etiqu.:0245,,,,,,CABEZA,
0246,032 010006500246,2025-10-09,11:34:50,,Nueva etiqu.:0246,,,,,,CABEZA,
0247,032 010006500247,2025-10-09,11:35:56,,Nueva etiqu.:0247,,,,,,CABEZA,
0248,032 010006500248,2025-10-09,11:36:48,,Nueva etiqu.:0248,,,,,,CABEZA,
0249,032 010006500249,2025-10-09,11:38:11,,Nueva etiqu.:0249,,,,,,VACIA,
1864,032 010006501864,2025-10-09,11:40:59,,Nueva etiqu.:1864,,,,,,VACIA,
1865,032 010006501865,2025-10-09,11:42:32,,Nueva etiqu.:1865,,,,,,CABEZA,
1866,032 010006501866,2025-10-09,11:43:19,,Nueva etiqu.:1866,,,,,,CABEZA,
1867,032 010006501867,2025-10-09,11:44:11,,Nueva etiqu.:1867,,,,,,CABEZA,
1868,032 010006501868,2025-10-09,11:48:49,,Nueva etiqu.:1868,,,,,,CABEZA,
1869,032 010006501869,2025-10-09,11:50:34,,Nueva etiqu.:1869,,,,,,VACIA,

 ,Total Head,206
 ,Total Weight,--.--
 ,Average Weight,--.--
 ,Minimum Weight,--.--
 ,Maximum Weight,--.--
 ,ADG,--.--
